Gene stable ID	Protein stable ID
ENSJJAG00000000006	ENSJJAP00000000001
ENSJJAG00000000010	ENSJJAP00000000002
ENSJJAG00000000016	ENSJJAP00000000003
ENSJJAG00000000019	ENSJJAP00000000004
ENSJJAG00000000021	ENSJJAP00000000005
ENSJJAG00000000022	ENSJJAP00000000006
ENSJJAG00000000023	ENSJJAP00000000007
ENSJJAG00000000025	ENSJJAP00000000008
ENSJJAG00000000027	ENSJJAP00000000009
ENSJJAG00000000028	ENSJJAP00000000010
ENSJJAG00000000032	ENSJJAP00000000011
ENSJJAG00000000033	ENSJJAP00000000012
ENSJJAG00000000035	ENSJJAP00000000013
ENSJJAG00000000038	ENSJJAP00000000016
ENSJJAG00000000039	ENSJJAP00000000015
ENSJJAG00000000040	ENSJJAP00000000014
ENSJJAG00000000041	ENSJJAP00000000017
ENSJJAG00000000042	ENSJJAP00000000018
ENSJJAG00000000043	ENSJJAP00000000019
ENSJJAG00000000043	ENSJJAP00000000020
ENSJJAG00000000044	ENSJJAP00000000023
ENSJJAG00000000046	ENSJJAP00000000022
ENSJJAG00000000047	ENSJJAP00000000021
ENSJJAG00000000048	ENSJJAP00000000025
ENSJJAG00000000049	ENSJJAP00000000024
ENSJJAG00000000050	ENSJJAP00000000026
ENSJJAG00000000051	ENSJJAP00000000027
ENSJJAG00000000052	ENSJJAP00000000028
ENSJJAG00000000052	ENSJJAP00000000029
ENSJJAG00000000053	ENSJJAP00000000030
ENSJJAG00000000054	ENSJJAP00000000035
ENSJJAG00000000054	ENSJJAP00000000038
ENSJJAG00000000055	ENSJJAP00000000031
ENSJJAG00000000056	ENSJJAP00000000032
ENSJJAG00000000056	ENSJJAP00000000033
ENSJJAG00000000057	ENSJJAP00000000044
ENSJJAG00000000058	ENSJJAP00000000034
ENSJJAG00000000059	ENSJJAP00000000036
ENSJJAG00000000060	ENSJJAP00000000037
ENSJJAG00000000061	ENSJJAP00000000039
ENSJJAG00000000062	ENSJJAP00000000040
